vessel,form_code,year,month,status,dept,pic,ket,submitted_at,updated_at
Express,009,2026,1,C,Deck,Master,BLN,,
Express,009,2026,2,C,Deck,Master,BLN,,
Express,009,2026,3,C,Deck,Master,BLN,,
Express,009,2026,4,C,Deck,Master,BLN,,
Express,009,2026,5,C,Deck,Master,BLN,,
Express,009,2026,6,C,Deck,Master,BLN,,
Express,009,2026,7,S,Deck,Master,BLN,,
Express,009,2026,8,S,Deck,Master,BLN,,
Express,009,2026,9,S,Deck,Master,BLN,,
Express,009,2026,10,S,Deck,Master,BLN,,
Express,009,2026,11,S,Deck,Master,BLN,,
Express,009,2026,12,S,Deck,Master,BLN,,
Express,018,2026,1,C,Deck,CO,BLN,,
Express,018,2026,2,C,Deck,CO,BLN,,
Express,018,2026,3,C,Deck,CO,BLN,,
Express,018,2026,4,C,Deck,CO,BLN,,
Express,018,2026,5,C,Deck,CO,BLN,,
Express,018,2026,6,C,Deck,CO,BLN,,
Express,018,2026,7,S,Deck,CO,BLN,,
Express,018,2026,8,S,Deck,CO,BLN,,
Express,018,2026,9,S,Deck,CO,BLN,,
Express,018,2026,10,S,Deck,CO,BLN,,
Express,018,2026,11,S,Deck,CO,BLN,,
Express,018,2026,12,S,Deck,CO,BLN,,
Express,022,2026,1,C,Deck,Master,BLN,,
Express,022,2026,2,C,Deck,Master,BLN,,
Express,022,2026,3,C,Deck,Master,BLN,,
Express,022,2026,4,C,Deck,Master,BLN,,
Express,022,2026,5,C,Deck,Master,BLN,,
Express,022,2026,6,C,Deck,Master,BLN,,
Express,022,2026,7,S,Deck,Master,BLN,,
Express,022,2026,8,S,Deck,Master,BLN,,
Express,022,2026,9,S,Deck,Master,BLN,,
Express,022,2026,10,S,Deck,Master,BLN,,
Express,022,2026,11,S,Deck,Master,BLN,,
Express,022,2026,12,S,Deck,Master,BLN,,
Express,023,2026,1,C,Deck,Master,BLN,,
Express,023,2026,2,C,Deck,Master,BLN,,
Express,023,2026,3,C,Deck,Master,BLN,,
Express,023,2026,4,C,Deck,Master,BLN,,
Express,023,2026,5,C,Deck,Master,BLN,,
Express,023,2026,6,C,Deck,Master,BLN,,
Express,023,2026,7,S,Deck,Master,BLN,,
Express,023,2026,8,S,Deck,Master,BLN,,
Express,023,2026,9,S,Deck,Master,BLN,,
Express,023,2026,10,S,Deck,Master,BLN,,
Express,023,2026,11,S,Deck,Master,BLN,,
Express,023,2026,12,S,Deck,Master,BLN,,
Express,024,2026,1,C,Deck,Master,BLN,,
Express,024,2026,2,C,Deck,Master,BLN,,
Express,024,2026,3,C,Deck,Master,BLN,,
Express,024,2026,4,C,Deck,Master,BLN,,
Express,024,2026,5,C,Deck,Master,BLN,,
Express,024,2026,6,C,Deck,Master,BLN,,
Express,024,2026,7,S,Deck,Master,BLN,,
Express,024,2026,8,S,Deck,Master,BLN,,
Express,024,2026,9,S,Deck,Master,BLN,,
Express,024,2026,10,S,Deck,Master,BLN,,
Express,024,2026,11,S,Deck,Master,BLN,,
Express,024,2026,12,S,Deck,Master,BLN,,
Express,025,2026,1,C,Deck,Master,2 BLN,,
Express,025,2026,3,C,Deck,Master,2 BLN,,
Express,025,2026,5,C,Deck,Master,2 BLN,,
Express,025,2026,7,S,Deck,Master,2 BLN,,
Express,025,2026,9,S,Deck,Master,2 BLN,,
Express,025,2026,11,S,Deck,Master,2 BLN,,
Express,026,2026,3,C,Deck,Master,TRW,,
Express,026,2026,6,C,Deck,Master,TRW,,
Express,026,2026,9,S,Deck,Master,TRW,,
Express,026,2026,12,S,Deck,Master,TRW,,
Express,027,2026,3,C,Deck,Master,TRW,,
Express,027,2026,6,C,Deck,Master,TRW,,
Express,027,2026,9,S,Deck,Master,TRW,,
Express,027,2026,12,S,Deck,Master,TRW,,
Express,028,2026,3,C,Deck,Master,TRW,,
Express,028,2026,6,C,Deck,Master,TRW,,
Express,028,2026,9,S,Deck,Master,TRW,,
Express,028,2026,12,S,Deck,Master,TRW,,
Express,038,2026,3,C,Deck,CO,TRW,,
Express,038,2026,6,C,Deck,CO,TRW,,
Express,038,2026,9,S,Deck,CO,TRW,,
Express,038,2026,12,S,Deck,CO,TRW,,
Express,040 A,2026,1,C,Engine,CE,BLN,,
Express,040 A,2026,2,C,Engine,CE,BLN,,
Express,040 A,2026,3,C,Engine,CE,BLN,,
Express,040 A,2026,4,C,Engine,CE,BLN,,
Express,040 A,2026,5,C,Engine,CE,BLN,,
Express,040 A,2026,6,C,Engine,CE,BLN,,
Express,040 A,2026,7,S,Engine,CE,BLN,,
Express,040 A,2026,8,S,Engine,CE,BLN,,
Express,040 A,2026,9,S,Engine,CE,BLN,,
Express,040 A,2026,10,S,Engine,CE,BLN,,
Express,040 A,2026,11,S,Engine,CE,BLN,,
Express,040 A,2026,12,S,Engine,CE,BLN,,
Express,040 C,2026,1,C,Engine,CE,BLN,,
Express,040 C,2026,2,C,Engine,CE,BLN,,
Express,040 C,2026,3,C,Engine,CE,BLN,,
Express,040 C,2026,4,C,Engine,CE,BLN,,
Express,040 C,2026,5,C,Engine,CE,BLN,,
Express,040 C,2026,6,C,Engine,CE,BLN,,
Express,040 C,2026,7,S,Engine,CE,BLN,,
Express,040 C,2026,8,S,Engine,CE,BLN,,
Express,040 C,2026,9,S,Engine,CE,BLN,,
Express,040 C,2026,10,S,Engine,CE,BLN,,
Express,040 C,2026,11,S,Engine,CE,BLN,,
Express,040 C,2026,12,S,Engine,CE,BLN,,
Express,041,2026,1,C,Engine,2E,BLN,,
Express,041,2026,2,C,Engine,2E,BLN,,
Express,041,2026,3,C,Engine,2E,BLN,,
Express,041,2026,4,C,Engine,2E,BLN,,
Express,041,2026,5,C,Engine,2E,BLN,,
Express,041,2026,6,C,Engine,2E,BLN,,
Express,041,2026,7,S,Engine,2E,BLN,,
Express,041,2026,8,S,Engine,2E,BLN,,
Express,041,2026,9,S,Engine,2E,BLN,,
Express,041,2026,10,S,Engine,2E,BLN,,
Express,041,2026,11,S,Engine,2E,BLN,,
Express,041,2026,12,S,Engine,2E,BLN,,
Express,042,2026,1,C,Engine,2E,BLN,,
Express,042,2026,2,C,Engine,2E,BLN,,
Express,042,2026,3,C,Engine,2E,BLN,,
Express,042,2026,4,C,Engine,2E,BLN,,
Express,042,2026,5,C,Engine,2E,BLN,,
